"TERM"	"GENE"
"N0000020000"	"CDC7"
"N0000020000"	"APITD1"
"N0000020000"	"RBM14"
"N0000020000"	"CD3EAP"
"N0000020000"	"ICMT"
"N0000020000"	"RMI1"
"N0000020000"	"BRCA1"
"N0000020000"	"GTF2A2"
"N0000020000"	"CEP55"
"N0000020000"	"THAP11"
"N0000020000"	"XPOT"
"N0000020000"	"PFAS"
"N0000020000"	"EZH2"
"N0000020000"	"CCDC86"
"N0000020000"	"VDAC3"
"N0000020000"	"PPP1R14B"
"N0000020000"	"RPIA"
"N0000020000"	"IARS2"
"N0000020000"	"PYCR1"
"N0000020000"	"GRWD1"
"N0000020000"	"SRM"
"N0000020000"	"HN1L"
"N0000020000"	"SNRPA"
"N0000020000"	"TDP1"
"N0000020000"	"CDK4"
"N0000020000"	"LOXL1"
"N0000020000"	"ITGB1BP1"
"N0000020000"	"UNG"
"N0000020000"	"PAICS"
"N0000020000"	"CSRP1"
"N0000020000"	"MTHFD1"
"N0000020000"	"MYCBP"
"N0000020000"	"MRPL20"
"N0000020000"	"ATP6V0B"
"N0000020000"	"CCNB2"
"N0000020000"	"MCM10"
"N0000020000"	"RABEPK"
"N0000020000"	"ITGB3BP"
"N0000020000"	"AURKA"
"N0000020000"	"UROS"
"N0000020000"	"G3BP1"
"N0000020000"	"SLIRP"
"N0000020000"	"CDC45"
"N0000020000"	"RFC3"
"N0000020000"	"HAT1"
"N0000020000"	"PLOD3"
"N0000020000"	"PARP1"
"N0000020000"	"DONSON"
"N0000020000"	"CDK1"
"N0000020000"	"ABCE1"
"N0000020000"	"CHAF1A"
"N0000020000"	"TUBG1"
"N0000020000"	"RNASEH2A"
"N0000020000"	"RAE1"
"N0000020000"	"DNAJC9"
"N0000020000"	"POLD1"
"N0000020000"	"PUS7"
"N0000020000"	"RAN"
"N0000020000"	"RRP1B"
"N0000020000"	"UBE3C"
"N0000020000"	"TK1"
"N0000020000"	"DTL"
"N0000020000"	"TXNDC9"
"N0000020000"	"SIVA1"
"N0000020000"	"DLD"
"N0000020000"	"FABP5"
"N0000020000"	"NCAPG2"
"N0000020000"	"PIH1D1"
"N0000020000"	"DSCC1"
"N0000020000"	"PMS1"
"N0000020000"	"MYBL2"
"N0000020000"	"CDC20"
"N0000020000"	"ATR"
"N0000020000"	"CD320"
"N0000020000"	"LSM6"
"N0000020000"	"HADH"
"N0000020000"	"LAGE3"
"N0000020000"	"RFC2"
"N0000020000"	"NUP93"
"N0000020000"	"PSMG1"
"N0000020000"	"TIMM10"
"N0000020000"	"MCM6"
"N0000020000"	"NUP85"
"N0000020000"	"PRIM1"
"N0000020000"	"CHAF1B"
"N0000020000"	"NCLN"
"N0000020000"	"PTGES3"
"N0000020000"	"ANAPC15"
"N0000020000"	"POLE2"
"N0000020000"	"SDHB"
"N0000020000"	"OIP5"
"N0000020000"	"SUV39H1"
"N0000020000"	"CENPA"
"N0000020000"	"MRPL12"
"N0000020000"	"TMEM168"
"N0000020000"	"ATF5"
"N0000020000"	"CAMSAP2"
"N0000020000"	"PXMP2"
"N0000020000"	"TRIP13"
"N0000020000"	"SMC4"
"N0000020000"	"TBP"
"N0000020000"	"DCK"
"N0000020000"	"FEN1"
"N0000020000"	"PLK1"
"N0000020000"	"GINS1"
"N0000020000"	"PARP2"
"N0000020000"	"IMPDH1"
"N0000020000"	"NOLC1"
"N0000020000"	"RPA3"
"N0000020000"	"CLTB"
"N0000020000"	"LSM5"
"N0000020000"	"POP4"
"N0000020000"	"ODC1"
"N0000020000"	"RPP40"
"N0000020000"	"CCT6A"
"N0000020000"	"BIRC5"
"N0000020000"	"IDH3A"
"N0000020000"	"NT5DC2"
"N0000020000"	"RHBDD3"
"N0000020000"	"CHEK2"
"N0000020000"	"KIF20A"
"N0000020000"	"CNDP2"
"N0000020000"	"SNRPF"
"N0000020000"	"CCT4"
"N0000020000"	"NOC3L"
"N0000020000"	"STRA13"
"N0000020000"	"SLC25A15"
"N0000020000"	"CCNA2"
"N0000020000"	"FAH"
"N0000020000"	"PPAT"
"N0000020000"	"SUZ12"
"N0000020000"	"TRAP1"
"N0000020000"	"CCNB1"
"N0000020000"	"LYPLA1"
"N0000020000"	"POLR3K"
"N0000020000"	"PGAM1"
"N0000020000"	"SAC3D1"
"N0000020000"	"CETN3"
"N0000020000"	"C1orf174"
"N0000020000"	"CCNF"
"N0000020000"	"MELK"
"N0000020000"	"PSMC3IP"
"N0000020000"	"AKT1"
"N0000020000"	"ADI1"
"N0000020000"	"TMEM5"
"N0000020000"	"SNRNP25"
"N0000020000"	"TIMELESS"
"N0000020000"	"MRTO4"
"N0000020000"	"PNP"
"N0000020000"	"SMARCD2"
"N0000020000"	"ITGAE"
"N0000020000"	"POLD2"
"N0000020000"	"ZWINT"
"N0000020000"	"POLR2I"
"N0000020000"	"VRK1"
"N0000020000"	"RFC4"
"N0000020000"	"PUF60"
"N0000020000"	"CDT1"
"N0000020000"	"YKT6"
"N0000020000"	"CDKN3"
"N0000020000"	"XPO1"
"N0000020000"	"WDR77"
"N0000020000"	"ACYP1"
"N0000020000"	"CYCS"
"N0000020000"	"NLE1"
"N0000020000"	"HEATR3"
"N0000020000"	"PCNA"
"N0000020000"	"C20orf27"
"N0000020000"	"NOP56"
"N0000020000"	"ADH5"
"N0000020000"	"MRPS2"
"N0000020000"	"WDR61"
"N0000020000"	"MCM2"
"N0000020000"	"MCMBP"
"N0000020000"	"NUDT1"
"N0000020000"	"MRPS16"
"N0000020000"	"EIF5"
"N0000020000"	"EXO1"
"N0000020000"	"ZDHHC6"
"N0000020000"	"CMC2"
"N0000020000"	"DTYMK"
"N0000020000"	"RPS4Y1"
"N0000020000"	"GTPBP8"
"N0000020000"	"B4GAT1"
"N0000020000"	"BLMH"
"N0000020000"	"TIPIN"
"N0000020000"	"POLA1"
"N0000020000"	"MTHFD2"
"N0000020000"	"UBE2C"
"N0000020000"	"SNRPD1"
"N0000020000"	"LMNB2"
"N0000020000"	"CDCA4"
"N0000020000"	"TNK1"
"N0000020000"	"SLK"
"N0000020000"	"SRC"
"N0000020000"	"JAK3"
"N0000020000"	"ACVR1"
"N0000020000"	"FGR"
"N0000020000"	"PLK4"
"N0000020000"	"TNK2"
"N0000020000"	"EPHA6"
"N0000020000"	"NTRK1"
"N0000020000"	"EPHA7"
"N0000020000"	"MAP4K1"
"N0000020000"	"ANKK1"
"N0000020000"	"EPHA8"
"N0000020000"	"MET"
"N0000020000"	"IKBKE"
"N0000020000"	"FER"
"N0000020000"	"SIK2"
"N0000020000"	"CYP3A5"
"N0000020000"	"EPHA5"
"N0000020000"	"RIPK2"
"N0000020000"	"PRKD1"
"N0000020000"	"IGF1R"
"N0000020000"	"NUAK2"
"N0000020000"	"MAPK7"
"N0000020000"	"TXK"
"N0000020000"	"CASK"
"N0000020000"	"YES1"
"N0000020000"	"SBK3"
"N0000020000"	"MAP4K5"
"N0000020000"	"MAP4K2"
"N0000020000"	"TIE1"
"N0000020000"	"MAP3K12"
"N0000020000"	"EPHB4"
"N0000020000"	"EPHA2"
"N0000020000"	"STK3"
"N0000020000"	"LIMK1"
"N0000020000"	"IRAK1"
"N0000020000"	"STK10"
"N0000020000"	"CDK7"
"N0000020000"	"MAP3K3"
"N0000020000"	"TAOK2"
"N0000020000"	"BMP2K"
"N0000020000"	"NEK9"
"N0000020000"	"LYN"
"N0000020000"	"PTK2"
"N0000020000"	"PRKD3"
"N0000020000"	"TESK1"
"N0000020000"	"LIMK2"
"N0000020000"	"CYP3A4"
"N0000020000"	"AXL"
"N0000020000"	"MERTK"
"N0000020000"	"DSTYK"
"N0000020000"	"BMPR1B"
"N0000020000"	"MUSK"
"N0000020000"	"EPHA4"
"N0000020000"	"MAP3K19"
"N0000020000"	"CSF1R"
"N0000020000"	"TYRO3"
"N0000020000"	"STK4"
"N0000020000"	"ABCB1"
"N0000020000"	"PTK2B"
"N0000020000"	"INSRR"
"N0000020000"	"MAP3K2"
"N0000020000"	"FLT3"
"N0000020000"	"EPHB6"
"N0000020000"	"TEK"
"N0000020000"	"ABL2"
"N0000020000"	"ALK"
"N0000020000"	"LCK"
"N0000020000"	"TBK1"
"N0000020000"	"ACVR1B"
"N0000020000"	"ROS1"
"N0000020000"	"ABL1"
"N0000020000"	"FES"
"N0000020000"	"STK35"
"N0000020000"	"DCLK1"
"N0000020000"	"BLK"
"N0000020000"	"JAK2"
"N0000020000"	"LTK"
"N0000020000"	"EPHA3"
"N0000020000"	"TYK2"
"N0000020000"	"RPS6KB1"
"N0000020000"	"TAOK3"
"N0000020000"	"CEBPD"
"N0000020000"	"PRAF2"
"N0000020000"	"MAFB"
"N0000020000"	"CYLD"
"N0000020000"	"BAG6"
"N0000020000"	"GABARAPL1"
"N0000020000"	"SERINC1"
"N0000020000"	"CBLB"
"N0000020000"	"WIPI1"
"N0000020000"	"CHIC2"
"N0000020000"	"MAD2L1BP"
"N0000020000"	"WFS1"
"N0000020000"	"TRAPPC6A"
"N0000020000"	"RRAGA"
"N0000020000"	"YIPF3"
"N0000020000"	"SIRT3"
"N0000020000"	"MAFF"
"N0000020000"	"KDM5A"
"N0000020000"	"SDCBP"
"N0000020000"	"DHRS7"
"N0000020000"	"HECA"
"N0000020000"	"IL1B"
"N0000020000"	"PNKP"
"N0000020000"	"TFIP11"
"N0000020000"	"TPP1"
"N0000020000"	"RELB"
"N0000020000"	"CXCR4"
"N0000020000"	"MAU2"
"N0000020000"	"MNT"
"N0000020000"	"GDPD5"
"N0000020000"	"ERBB2"
"N0000020000"	"NARFL"
"N0000020000"	"TNIP1"
"N0000020000"	"CTSA"
"N0000020000"	"CYP51A1"
"N0000020000"	"CYTH2"
"N0000020000"	"CASP10"
"N0000020000"	"NSDHL"
"N0000020000"	"HOOK2"
"N0000020000"	"PHF3"
"N0000020000"	"RAP1GAP"
"N0000020000"	"PRSS8"
"N0000020000"	"NFKB2"
"N0000020000"	"PHF1"
"N0000020000"	"SOD2"
"N0000020000"	"CLSTN3"
"N0000020000"	"GNPDA1"
"N0000020000"	"SERPINA3"
"N0000020000"	"RNF5"
"N0000020000"	"LRRC1"
"N0000020000"	"UBE2H"
"N0000020000"	"CCNA1"
"N0000020000"	"HLA-E"
"N0000020000"	"KDM3A"
"N0000020000"	"NOTCH1"
"N0000020000"	"STAP2"
"N0000020000"	"ST6GALNAC2"
"N0000020000"	"PER1"
"N0000020000"	"TNKS2"
"N0000020000"	"ZER1"
"N0000020000"	"TNXB"
"N0000020000"	"CDKN1A"
"N0000020000"	"KLHL9"
"N0000020000"	"LTBR"
"N0000020000"	"PBXIP1"
"N0000020000"	"CLPX"
"N0000020000"	"FAM63A"
"N0000020000"	"PLEKHM2"
"N0000020000"	"MYH9"
"N0000020000"	"TLR4"
"N0000020000"	"SVIL"
"N0000020000"	"UBXN7"
"N0000020000"	"RALGDS"
"N0000020000"	"KEAP1"
"N0000020000"	"TP53BP1"
"N0000020000"	"BAZ2B"
"N0000020000"	"MYO6"
"N0000020000"	"AP1G2"
"N0000020000"	"LGALS8"
"N0000020000"	"SOS2"
"N0000020000"	"RBKS"
"N0000020000"	"MCOLN1"
"N0000020000"	"ATP6V1C1"
"N0000020000"	"GNAI1"
"N0000020000"	"WDR26"
"N0000020000"	"P2RX4"
"N0000020000"	"MKRN1"
"N0000020000"	"NFKBIE"
"N0000020000"	"C16orf62"
"N0000020000"	"ZSWIM8"
"N0000020000"	"CDIPT"
"N0000020000"	"MVD"
"N0000020000"	"SREBF2"
"N0000020000"	"MAPRE2"
"N0000020000"	"HDAC5"
"N0000020000"	"ANKRA2"
"N0000020000"	"DUSP6"
"N0000020000"	"ACD"
"N0000020000"	"KIF3C"
"N0000020000"	"CTDSP2"
"N0000020000"	"NFKBIA"
"N0000020000"	"SRP14"
"N0000020000"	"FOXO4"
"N0000020000"	"RNF167"
"N0000020000"	"KIAA0196"
"N0000020000"	"INSIG1"
"N0000020000"	"GABARAP"
"N0000020000"	"ADCK3"
"N0000020000"	"YPEL5"
"N0000020000"	"TLK2"
"N0000020000"	"LDLR"
"N0000020000"	"BNIP3L"
"N0000020000"	"POLD4"
"N0000020000"	"CALCOCO1"
"N0000020000"	"SPAG7"
"N0000020000"	"DOCK9"
"N0000020000"	"RB1CC1"
"N0000020000"	"COL11A1"
"N0000020000"	"DDR1"
"N0000020000"	"ZNF451"
"N0000020000"	"UBR2"
"N0000020000"	"BDKRB2"
"N0000020000"	"DUSP4"
"N0000020000"	"ERBB3"
"N0000020000"	"GRN"
"N0000020000"	"IRS2"
"N0000020000"	"ARHGAP1"
"N0000020000"	"NR4A2"
"N0000020000"	"SNX13"
"N0000020000"	"TSC22D3"
"N0000020000"	"WDR7"
"N0000020000"	"LCN2"
"N0000020000"	"MED12"
"N0000020000"	"KLHL21"
"N0000020000"	"TP53BP2"
"N0000020000"	"SNAP25"
"N0000020000"	"PNRC1"
"N0000020000"	"HIST1H2BK"
"N0000020000"	"RFNG"
"N0000020000"	"MUT"
"N0000020000"	"HBP1"
"N0000020000"	"FBXO28"
"N0000020000"	"IRF9"
"N0000020000"	"GBP2"
"N0000020000"	"MARCH6"
"N0000020000"	"GSN"
"N0000020000"	"MSMO1"
"N0000020000"	"BMP4"
"N0000020000"	"KIT"
"N0000020000"	"CUL7"
"N0000020000"	"E2F2"
"N0000020000"	"CDK19"
"N0000020000"	"KLHDC2"
"N0000020000"	"TBC1D17"
"N0000020000"	"HSD17B14"
"N0000020000"	"ZFP36"
"N0000020000"	"TNFRSF21"
"N0000020000"	"ENSA"
"N0000020000"	"HLA-DRA"
"N0000020000"	"PRKCQ"
"N0000020000"	"WDR45"
"N0000020000"	"MAP3K8"
"N0000020000"	"TAPBP"
"N0000020000"	"TIMP2"
"N0000020000"	"ICAM1"
"N0000020000"	"EFNA1"
"N0000020000"	"NR3C1"
"N0000020000"	"UBE2Q1"
"N0000020000"	"ZC3H12A"
"N0000020000"	"TJP1"
"N0000020000"	"KAT6B"
"N0000020000"	"TBXA2R"
"N0000020000"	"FUT1"
"N0000020000"	"LSS"
"N0000020000"	"FBXL12"
"N0000020000"	"NEU1"
"N0000020000"	"CD55"
"N0000020000"	"SQLE"
"N0000020000"	"OPTN"
"N0000020000"	"HMGCS1"
"N0000020000"	"KLHL24"
"N0000020000"	"BSDC1"
"N0000020000"	"IDS"
"N0000020000"	"TERF2IP"
"N0000020000"	"SOCS2"
"N0000020000"	"ATP9A"
"N0000020000"	"LRP10"
"N0000020000"	"DHX8"
"N0000020000"	"ATF7IP"
"N0000020000"	"SQSTM1"
"N0000020000"	"STAT6"
"N0000020000"	"DNAJC3"
"N0000020000"	"RXRB"
"N0000020000"	"GLRX"
"N0000020000"	"PEX11B"
"N0000020000"	"SESN1"
"N0000020000"	"PTPN6"
"N0000020000"	"MXI1"
"N0000020000"	"ERCC5"
"N0000020000"	"KDM5B"
"N0000020000"	"RNF103"
"N0000020000"	"GOLGB1"
"N0000020000"	"SYF2"
"N0000020000"	"NFE2L2"
"N0000020000"	"ARHGEF7"
"N0000020000"	"SNCA"
"N0000020000"	"BTG1"
"N0000020000"	"ADAM10"
"N0000020000"	"CCDC28A"
"N0000020000"	"TCEAL4"
"N0000020000"	"MRPL19"
"N0000020000"	"ATG14"
"N0000020000"	"ACBD3"
"N0000020000"	"NR1H2"
"N0000020000"	"PIK3IP1"
"N0000020000"	"MVP"
"N0000020000"	"FDFT1"
"N0000020000"	"GADD45A"
"N0000020000"	"TGFBR2"
"N0000020000"	"ATP6V1E1"
"N0000020000"	"HMOX1"
"N0000020000"	"WASL"
"N0000020000"	"BBC3"
"N0000020000"	"MEF2C"
"N0000020000"	"MMP1"
"N0000020000"	"CTSD"
"N0000020000"	"ORAI3"
"N0000020000"	"MTMR14"
"N0000020000"	"VAT1"
"N0000020000"	"TRIB1"
"N0000020000"	"SUSD6"
"N0000020000"	"SQRDL"
"N0000020000"	"STX4"
"N0000020000"	"MAL"
"N0000020000"	"CCNG2"
"N0000020000"	"USP6NL"
"N0000020000"	"IGF2R"
"N0000020000"	"SORBS3"
"N0000020000"	"FYCO1"
"N0000020000"	"TIPARP"
"N0000020000"	"NUPR1"
"N0000020000"	"PPOX"
"N0000020000"	"TXNRD1"
"N0000020000"	"HIST2H2BE"
"N0000020000"	"HMGCR"
"N0000020000"	"ECH1"
"N0000190114"	"LAP3"
"N0000190114"	"NOSIP"
"N0000190114"	"COTL1"
"N0000190114"	"TIMM9"
"N0000190114"	"CHERP"
"N0000190114"	"CDC20"
"N0000190114"	"TLE1"
"N0000190114"	"PPIE"
"N0000190114"	"PHGDH"
"N0000190114"	"CNDP2"
"N0000190114"	"PHB2"
"N0000190114"	"ARFIP2"
"N0000190114"	"RUVBL1"
"N0000190114"	"POLR2I"
"N0000190114"	"PDHX"
"N0000190114"	"TCERG1"
"N0000190114"	"RPS4Y1"
"N0000190114"	"NPDC1"
"N0000190114"	"TERF2IP"
"N0000190114"	"GDF15"
"N0000190114"	"MIF"
"N0000190114"	"DNTTIP2"
"N0000190114"	"PRAF2"
"N0000190114"	"HTATSF1"
"N0000190114"	"DNAJA3"
"N0000190114"	"CSNK1E"
"N0000190114"	"GNPDA1"
"N0000190114"	"MSN"
"N0000190114"	"SLC35B1"
"N0000190114"	"UTP14A"
"N0000190114"	"KEAP1"
"N0000190114"	"NME1"
"N0000190114"	"CYP3A4"
"N0000190114"	"CYP3A5"
"N0000190114"	"CYP2C19"
"N0000190114"	"CYP3A7-CYP3A51P"
"N0000190114"	"CYP1A2"
"N0000190114"	"CYP3A7"
"N0000190114"	"ABCB1"
"N0000190114"	"SLC22A7"
"N0000190114"	"PACSIN3"
"N0000190114"	"FKBP14"
"N0000190114"	"SFTPA2"
"N0000190114"	"RPP38"
"N0000190114"	"SYNE2"
"N0000190114"	"UBQLN2"
"N0000190114"	"GATA3"
"N0000190114"	"TBX2"
"N0000190114"	"ABHD6"
"N0000190114"	"CCNA1"
"N0000190114"	"SLC25A14"
"N0000190114"	"CNOT4"
"N0000190114"	"PLCB3"
"N0000190114"	"ST3GAL5"
"N0000190114"	"MEF2C"
"N0000190114"	"EPCAM"
"N0000190114"	"KIAA0753"
"N0000190114"	"RAB11FIP2"
"N0000190114"	"ABCC5"
"N0000190114"	"CRIP1"
"N0000190114"	"AGR2"
"N0000190114"	"TMEM110"
"N0000190114"	"SOCS2"
"N0000190114"	"LBR"
"N0000190114"	"CDC6"
"N0000190114"	"MLST8"
"N0000190114"	"HSPA8"
"N0000190114"	"POLB"
"N0000190114"	"MAD2L1"
"N0000190114"	"SEH1L"
"N0000190114"	"CLN6"
"N0000190114"	"DLGAP5"
"N0000190114"	"HSPD1"
"N0000190114"	"PLEKHJ1"
"N0000190114"	"C2CD5"
"N0000190114"	"DNMT1"
"N0000190114"	"PRPF38B"
"N0000190114"	"PRR7"
"N0000190114"	"SLC35F2"
"N0000190114"	"RRP9"
"N0000190114"	"C1QBP"
"N0000190114"	"CACYBP"
"N0000190114"	"CTNNAL1"
"N0000190114"	"PAM16"
"N0000190114"	"C11orf24"
"N0000190114"	"MCM5"
"N0000190114"	"ASF1B"
"N0000190114"	"MTERF3"
"N0000190114"	"POLA2"
"N0000190114"	"LSM7"
"N0000190114"	"NUDCD3"
"N0000190114"	"GINS2"
"N0000190114"	"COASY"
"N0000190114"	"IFRD2"
"N0000190114"	"NUP37"
"N0000190114"	"TUBB6"
"N0000190114"	"BCS1L"
"N0000190114"	"MIS18A"
"N0000190114"	"STUB1"
"N0000190114"	"MRPL3"
"N0000190114"	"TYMS"
"N0000190114"	"CDC25A"
"N0000190114"	"AURKB"
"N0000190114"	"CTPS1"
"N0000190114"	"TOP2A"
"N0000190114"	"POP5"
"N0000190114"	"TMEM109"
"N0000190114"	"NUP107"
"N0000190114"	"NCAPG"
"N0000190114"	"TXLNA"
"N0000190114"	"PDSS1"
"N0000190114"	"CSE1L"
"N0000190114"	"RPA1"
"N0000190114"	"SPDL1"
"N0000190114"	"KIF18B"
"N0000190114"	"EBNA1BP2"
"N0000190114"	"NUP88"
"N0000190114"	"CDC7"
"N0000190114"	"APITD1"
"N0000190114"	"RBM14"
"N0000190114"	"CD3EAP"
"N0000190114"	"ICMT"
"N0000190114"	"RMI1"
"N0000190114"	"BRCA1"
"N0000190114"	"GTF2A2"
"N0000190114"	"CEP55"
"N0000190114"	"THAP11"
"N0000190114"	"XPOT"
"N0000190114"	"PFAS"
"N0000190114"	"EZH2"
"N0000190114"	"CCDC86"
"N0000190114"	"VDAC3"
"N0000190114"	"PPP1R14B"
"N0000190114"	"RPIA"
"N0000190114"	"IARS2"
"N0000190114"	"PYCR1"
"N0000190114"	"GRWD1"
"N0000190114"	"SRM"
"N0000190114"	"HN1L"
"N0000190114"	"SNRPA"
"N0000190114"	"TDP1"
"N0000190114"	"CDK4"
"N0000190114"	"LOXL1"
"N0000190114"	"ITGB1BP1"
"N0000190114"	"UNG"
"N0000190114"	"PAICS"
"N0000190114"	"CSRP1"
"N0000190114"	"MTHFD1"
"N0000190114"	"MYCBP"
"N0000190114"	"MRPL20"
"N0000190114"	"ATP6V0B"
"N0000190114"	"CCNB2"
"N0000190114"	"MCM10"
"N0000190114"	"RABEPK"
"N0000190114"	"ITGB3BP"
"N0000190114"	"AURKA"
"N0000190114"	"UROS"
"N0000190114"	"G3BP1"
"N0000190114"	"SLIRP"
"N0000190114"	"CDC45"
"N0000190114"	"RFC3"
"N0000190114"	"HAT1"
"N0000190114"	"PLOD3"
"N0000190114"	"PARP1"
"N0000190114"	"DONSON"
"N0000190114"	"CDK1"
"N0000190114"	"ABCE1"
"N0000190114"	"CHAF1A"
"N0000190114"	"TUBG1"
"N0000190114"	"RNASEH2A"
"N0000190114"	"RAE1"
"N0000190114"	"DNAJC9"
"N0000190114"	"POLD1"
"N0000190114"	"PUS7"
"N0000190114"	"RAN"
"N0000190114"	"RRP1B"
"N0000190114"	"UBE3C"
"N0000190114"	"TK1"
"N0000190114"	"DTL"
"N0000190114"	"TXNDC9"
"N0000190114"	"SIVA1"
"N0000190114"	"DLD"
"N0000190114"	"FABP5"
"N0000190114"	"NCAPG2"
"N0000190114"	"PIH1D1"
"N0000190114"	"DSCC1"
"N0000190114"	"PMS1"
"N0000190114"	"MYBL2"
"N0000190114"	"ATR"
"N0000190114"	"CD320"
"N0000190114"	"LSM6"
"N0000190114"	"HADH"
"N0000190114"	"LAGE3"
"N0000190114"	"RFC2"
"N0000190114"	"NUP93"
"N0000190114"	"PSMG1"
"N0000190114"	"TIMM10"
"N0000190114"	"MCM6"
"N0000190114"	"NUP85"
"N0000190114"	"PRIM1"
"N0000190114"	"CHAF1B"
"N0000190114"	"NCLN"
"N0000190114"	"PTGES3"
"N0000190114"	"ANAPC15"
"N0000190114"	"POLE2"
"N0000190114"	"SDHB"
"N0000190114"	"OIP5"
"N0000190114"	"SUV39H1"
"N0000190114"	"CENPA"
"N0000190114"	"MRPL12"
"N0000190114"	"TMEM168"
"N0000190114"	"ATF5"
"N0000190114"	"CAMSAP2"
"N0000190114"	"PXMP2"
"N0000190114"	"TRIP13"
"N0000190114"	"SMC4"
"N0000190114"	"TBP"
"N0000190114"	"DCK"
"N0000190114"	"FEN1"
"N0000190114"	"PLK1"
"N0000190114"	"GINS1"
"N0000190114"	"PARP2"
"N0000190114"	"IMPDH1"
"N0000190114"	"NOLC1"
"N0000190114"	"RPA3"
"N0000190114"	"CLTB"
"N0000190114"	"LSM5"
"N0000190114"	"POP4"
"N0000190114"	"ODC1"
"N0000190114"	"RPP40"
"N0000190114"	"CCT6A"
"N0000190114"	"BIRC5"
"N0000190114"	"IDH3A"
"N0000190114"	"NT5DC2"
"N0000190114"	"RHBDD3"
"N0000190114"	"CHEK2"
"N0000190114"	"KIF20A"
"N0000190114"	"SNRPF"
"N0000190114"	"CCT4"
"N0000190114"	"NOC3L"
"N0000190114"	"STRA13"
"N0000190114"	"SLC25A15"
"N0000190114"	"CCNA2"
"N0000190114"	"FAH"
"N0000190114"	"PPAT"
"N0000190114"	"SUZ12"
"N0000190114"	"TRAP1"
"N0000190114"	"CCNB1"
"N0000190114"	"LYPLA1"
"N0000190114"	"POLR3K"
"N0000190114"	"PGAM1"
"N0000190114"	"SAC3D1"
"N0000190114"	"CETN3"
"N0000190114"	"C1orf174"
"N0000190114"	"CCNF"
"N0000190114"	"MELK"
"N0000190114"	"PSMC3IP"
"N0000190114"	"AKT1"
"N0000190114"	"ADI1"
"N0000190114"	"TMEM5"
"N0000190114"	"SNRNP25"
"N0000190114"	"TIMELESS"
"N0000190114"	"MRTO4"
"N0000190114"	"PNP"
"N0000190114"	"SMARCD2"
"N0000190114"	"ITGAE"
"N0000190114"	"POLD2"
"N0000190114"	"ZWINT"
"N0000190114"	"VRK1"
"N0000190114"	"RFC4"
"N0000190114"	"PUF60"
"N0000190114"	"CDT1"
"N0000190114"	"YKT6"
"N0000190114"	"CDKN3"
"N0000190114"	"XPO1"
"N0000190114"	"WDR77"
"N0000190114"	"ACYP1"
"N0000190114"	"CYCS"
"N0000190114"	"NLE1"
"N0000190114"	"HEATR3"
"N0000190114"	"PCNA"
"N0000190114"	"C20orf27"
"N0000190114"	"NOP56"
"N0000190114"	"ADH5"
"N0000190114"	"MRPS2"
"N0000190114"	"WDR61"
"N0000190114"	"MCM2"
"N0000190114"	"MCMBP"
"N0000190114"	"NUDT1"
"N0000190114"	"MRPS16"
"N0000190114"	"EIF5"
"N0000190114"	"EXO1"
"N0000190114"	"ZDHHC6"
"N0000190114"	"CMC2"
"N0000190114"	"DTYMK"
"N0000190114"	"GTPBP8"
"N0000190114"	"B4GAT1"
"N0000190114"	"BLMH"
"N0000190114"	"TIPIN"
"N0000190114"	"POLA1"
"N0000190114"	"MTHFD2"
"N0000190114"	"UBE2C"
"N0000190114"	"SNRPD1"
"N0000190114"	"LMNB2"
"N0000190114"	"CDCA4"
"N0000190114"	"TNK1"
"N0000190114"	"SLK"
"N0000190114"	"SRC"
"N0000190114"	"JAK3"
"N0000190114"	"ACVR1"
"N0000190114"	"FGR"
"N0000190114"	"PLK4"
"N0000190114"	"TNK2"
"N0000190114"	"EPHA6"
"N0000190114"	"NTRK1"
"N0000190114"	"EPHA7"
"N0000190114"	"MAP4K1"
"N0000190114"	"ANKK1"
"N0000190114"	"EPHA8"
"N0000190114"	"MET"
"N0000190114"	"IKBKE"
"N0000190114"	"FER"
"N0000190114"	"SIK2"
"N0000190114"	"EPHA5"
"N0000190114"	"RIPK2"
"N0000190114"	"PRKD1"
"N0000190114"	"IGF1R"
"N0000190114"	"NUAK2"
"N0000190114"	"MAPK7"
"N0000190114"	"TXK"
"N0000190114"	"CASK"
"N0000190114"	"YES1"
"N0000190114"	"SBK3"
"N0000190114"	"MAP4K5"
"N0000190114"	"MAP4K2"
"N0000190114"	"TIE1"
"N0000190114"	"MAP3K12"
"N0000190114"	"EPHB4"
"N0000190114"	"EPHA2"
"N0000190114"	"STK3"
"N0000190114"	"LIMK1"
"N0000190114"	"IRAK1"
"N0000190114"	"STK10"
"N0000190114"	"CDK7"
"N0000190114"	"MAP3K3"
"N0000190114"	"TAOK2"
"N0000190114"	"BMP2K"
"N0000190114"	"NEK9"
"N0000190114"	"LYN"
"N0000190114"	"PTK2"
"N0000190114"	"PRKD3"
"N0000190114"	"TESK1"
"N0000190114"	"LIMK2"
"N0000190114"	"AXL"
"N0000190114"	"MERTK"
"N0000190114"	"DSTYK"
"N0000190114"	"BMPR1B"
"N0000190114"	"MUSK"
"N0000190114"	"EPHA4"
"N0000190114"	"MAP3K19"
"N0000190114"	"CSF1R"
"N0000190114"	"TYRO3"
"N0000190114"	"STK4"
"N0000190114"	"PTK2B"
"N0000190114"	"INSRR"
"N0000190114"	"MAP3K2"
"N0000190114"	"FLT3"
